CommentID,Comment,LikeCount
Ugx1WHSancbi6ITeGAZ4AaABAg,"What good times? Did you forget, I wasn&#39;t allowed any.",0
UgwRvOMnRGiiy5dfqSF4AaABAg,"yeah but, MIT postdoc Lex Friedman is not part of the Nobel committee so.... I mean the result is great nonetheless. I&#39;m still waiting to hear from scientists in the field developing cures for once impossible to cure diseases. Unless it comes up with new miracle drugs, its a useless data processing machine. I&#39;m worried about the possibility of overtraining of the data. I&#39;m my experience, Neural Nets with no physics or necessary mathematical constraints tend to not go very far in their predictions.",1
Ugw8pK1FQ95WQzHmHDJ4AaABAg,"Hi Professor,<br><br>please recommend: I am trying to decide btwn starting an MS Data Sci program or MS Biomedical Informatics program next month and am unsure. I also have an undergrad background in bio &amp; natural sciences and was thinking a full on Data Sci degree might be better in exposing me to the technical side and leave more options in which sector to work, but idk if Biomed Informatics degree might be better",0
UgzRNPwmEeNGEYh53754AaABAg,Deepmind has just done another great work in Machine Learning. Thanks for the explanation @Data Professor.,0
Ugye0i-bcC_F-Fh9elV4AaABAg,This is really cool but let&#39;s wait for the paper before discussing the Nobel :). Yanik Kilcher put out a nice analysis of the Google blog post,1
Ugx8tjzYptMqbyFZFut4AaABAg,Thanks,1
Ugwx5pVzg4fiiW2g05t4AaABAg,"🤔The protein structure in the thumbnail of this video was created using the PyMOL software (<a href=""https://pymol.org/)"">https://pymol.org/)</a>, would anyone be interested if I make a video showing how to make it?<br>👉Watch this video next (How to learn data science in 2021) <a href=""https://www.youtube.com/watch?v=oR670Txwh88"">https://youtu.be/oR670Txwh88</a><br>Support this Channel  👇👇👇<br>🌟 Buy me a coffee <a href=""https://www.buymeacoffee.com/dataprofessor"">https://www.buymeacoffee.com/dataprofessor</a><br>🌟 Download Kite for FREE <a href=""https://www.kite.com/get-kite/?utm_medium=referral&amp;utm_source=youtube&amp;utm_campaign=dataprofessor&amp;utm_content=description-only"">https://www.kite.com/get-kite/?utm_medium=referral&amp;utm_source=youtube&amp;utm_campaign=dataprofessor&amp;utm_content=description-only</a><br>👉 Subscribe to this YouTube channel <a href=""https://www.youtube.com/dataprofessor?sub_confirmation=1"">https://www.youtube.com/dataprofessor?sub_confirmation=1</a><br>👉 Join the Newsletter of Data Professor <a href=""http://newsletter.dataprofessor.org/"">http://newsletter.dataprofessor.org</a>",3
UgzfUMkzQ7hhJcQe4GJ4AaABAg,That&#39;s pretty interesting,1
