CommentID,Comment,LikeCount
Ugy9cappYBoNkvwydhh4AaABAg,"🔬 Check out the AlphaFold BigQuery public dataset→ <a href=""https://goo.gle/3Em79pd"">https://goo.gle/3Em79pd</a><br>👩‍🔬 Subscribe for more innovative announcements from the Google Cloud team → <a href=""https://goo.gle/GoogleCloudTech"">https://goo.gle/GoogleCloudTech</a>",9
UgzH3t0WSN2yNtA4ZNV4AaABAg,"For the first time, I managed to understand exactly what is AlphaFold",6
UgxEZ-krsEbU3kI5TKt4AaABAg,👍,2
UgzeVpifApanz8J8kPh4AaABAg,Thanks,1
